,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
0,600111.XSHG,600111,北方稀土,XSHG,2019-10-08,10.87,10.87,10.87,10.95,10.74,10.93,20326667,220572406,12165,0.0056,1,39709411380,39709411380,0.0055,62.823,74.6333,4.2434,1,10.851
1,600111.XSHG,600111,北方稀土,XSHG,2019-10-09,10.93,10.93,10.87,11.11,10.81,11.03,31228195,343524795,17186,0.0086,1,40072717980,40072717980,0.0091,63.3978,75.3161,4.2822,1,11.0
2,600111.XSHG,600111,北方稀土,XSHG,2019-10-10,11.03,11.03,10.98,11.03,10.86,10.96,19044345,208181544,12726,0.0052,1,39818403360,39818403360,-0.0063,62.9954,74.8382,4.2551,1,10.931
3,600111.XSHG,600111,北方稀土,XSHG,2019-10-11,10.96,10.96,10.88,10.96,10.87,10.92,14227829,155215205,9702,0.0039,1,39673080720,39673080720,-0.0036,62.7655,74.565,4.2395,1,10.909
4,600111.XSHG,600111,北方稀土,XSHG,2019-10-14,10.92,10.92,10.89,11.02,10.86,10.93,24004185,262524755,14555,0.0066,1,39709411380,39709411380,0.0009,62.823,74.6333,4.2434,1,10.937
5,600111.XSHG,600111,北方稀土,XSHG,2019-10-15,10.93,10.93,10.94,10.96,10.7,10.7,21719999,234481567,15704,0.006,1,38873806200,38873806200,-0.021,61.501,73.0628,4.1541,1,10.796
6,600111.XSHG,600111,北方稀土,XSHG,2019-10-16,10.7,10.7,10.7,10.79,10.4,10.44,26539433,281339164,19448,0.0073,1,37929209040,37929209040,-0.0243,60.0066,71.2874,4.0532,1,10.601
7,600111.XSHG,600111,北方稀土,XSHG,2019-10-17,10.44,10.44,10.48,10.54,10.4,10.42,15849896,165954114,11883,0.0044,1,37856547720,37856547720,-0.0019,59.8916,71.1509,4.0454,1,10.47
8,600111.XSHG,600111,北方稀土,XSHG,2019-10-18,10.42,10.42,10.45,10.49,10.1,10.17,24372058,250021997,18455,0.0067,1,36948281220,36948281220,-0.024,58.4547,69.4438,3.9483,1,10.259
9,600111.XSHG,600111,北方稀土,XSHG,2019-10-21,10.17,10.17,10.13,10.22,9.93,10.22,20681013,208687355,15248,0.0057,1,37129934520,37129934520,0.0049,58.7421,69.7852,3.9678,1,10.091
10,600111.XSHG,600111,北方稀土,XSHG,2019-10-22,10.22,10.22,10.2,10.3,10.17,10.24,12796993,131069305,10899,0.0035,1,37202595840,37202595840,0.002,55.8956,60.5019,3.9002,1,10.242
11,600111.XSHG,600111,北方稀土,XSHG,2019-10-23,10.24,10.24,10.21,10.27,10.04,10.11,13535613,137449110,10925,0.0037,1,36730297260,36730297260,-0.0127,55.186,59.7338,3.8507,1,10.155
12,600111.XSHG,600111,北方稀土,XSHG,2019-10-24,10.11,10.11,10.05,10.16,10.05,10.07,11918297,120231476,8861,0.0033,1,36584974620,36584974620,-0.004,54.9677,59.4974,3.8355,1,10.088
13,600111.XSHG,600111,北方稀土,XSHG,2019-10-25,10.07,10.07,10.06,10.14,10.0,10.1,11947508,120290278,9944,0.0033,1,36693966600,36693966600,0.003,55.1314,59.6747,3.8469,1,10.068
14,600111.XSHG,600111,北方稀土,XSHG,2019-10-28,10.1,10.1,10.12,10.35,10.12,10.31,24722774,253059780,16924,0.0068,1,37456910460,37456910460,0.0208,56.2777,60.9154,3.9269,1,10.236
15,600111.XSHG,600111,北方稀土,XSHG,2019-10-29,10.31,10.31,10.32,10.35,10.16,10.16,15887442,162370620,12618,0.0044,1,36911950560,36911950560,-0.0145,55.4589,60.0292,3.8698,1,10.22
16,600111.XSHG,600111,北方稀土,XSHG,2019-10-30,10.16,10.16,10.15,10.15,9.94,9.96,21541514,215385825,16503,0.0059,1,36185337360,36185337360,-0.0197,54.3672,58.8475,3.7936,1,9.999
