,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
0,600111.XSHG,600111,包钢稀土,XSHG,2015-01-05,25.88,25.88,25.91,28.47,25.9,28.47,202308066,5572489111,150090,0.1367,0.6575430632,42120508053,68955592680,0.1001,107.2359,107.2359,8.3041,1,27.545
1,600111.XSHG,600111,包钢稀土,XSHG,2015-01-06,28.47,28.47,28.8,28.8,27.43,27.68,145668135,4077940784,103299,0.0985,0.6575430632,40951726832,67042177920,-0.0277,104.2602,104.2602,8.0737,1,27.995
2,600111.XSHG,600111,包钢稀土,XSHG,2015-01-07,27.68,27.68,27.59,28.74,27.3,27.79,94918606,2663349456,75089,0.0642,0.6575430632,41114468521,67308602760,0.004,104.6745,104.6745,8.1058,1,28.059
3,600111.XSHG,600111,包钢稀土,XSHG,2015-01-08,27.79,27.79,27.8,27.93,26.69,26.89,70331635,1907737154,64259,0.0475,0.6575430632,39782945611,65128763160,-0.0324,101.2846,101.2846,7.8433,1,27.125
4,600111.XSHG,600111,包钢稀土,XSHG,2015-01-09,26.89,26.89,26.92,27.43,26.3,26.35,63854406,1719419822,58460,0.0432,0.6575430632,38984031865,63820859400,-0.0201,99.2506,99.2506,7.6858,1,26.927
5,600111.XSHG,600111,包钢稀土,XSHG,2015-01-12,26.35,26.35,26.1,26.75,25.9,26.4,48690640,1280157310,46353,0.0329,0.6575430632,39058005360,63941961600,0.0019,99.4389,99.4389,7.7004,1,26.292
6,600111.XSHG,600111,包钢稀土,XSHG,2015-01-13,26.4,26.4,26.31,26.7,26.1,26.49,33992890,897719060,28164,0.023,0.6575430632,39191157651,64159945560,0.0034,99.7779,99.7779,7.7266,1,26.409
7,600111.XSHG,600111,包钢稀土,XSHG,2015-01-14,26.49,26.49,26.55,26.65,25.02,25.17,58310939,1499743380,53453,0.0394,0.6575430632,37238257383,60962847480,-0.0498,94.806,94.806,7.3416,1,25.72
8,600111.XSHG,600111,包钢稀土,XSHG,2015-01-15,25.17,25.17,25.3,25.6,24.77,25.59,46574886,1172697449,43644,0.0315,0.6575430632,37859634741,61980105960,0.0167,96.388,96.388,7.4641,1,25.179
9,600111.XSHG,600111,包钢稀土,XSHG,2015-01-16,25.59,25.59,25.9,26.2,25.62,25.71,44550547,1151139225,37990,0.0301,0.6575430632,38037171129,62270751240,0.0047,96.84,96.84,7.4991,1,25.839
10,600111.XSHG,600111,包钢稀土,XSHG,2015-01-19,25.71,25.71,24.5,25.15,23.7,23.96,61051757,1492375830,56238,0.0413,0.6575430632,35448098804,58032174240,-0.0681,90.2484,90.2484,6.9887,1,24.444
11,600111.XSHG,600111,北方稀土,XSHG,2015-01-20,23.96,23.96,24.04,24.67,24.04,24.52,42329366,1034623359,36362,0.0286,0.6575430632,36276601948,59388518880,0.0234,92.3577,92.3577,7.152,1,24.442
12,600111.XSHG,600111,北方稀土,XSHG,2015-01-21,24.52,24.52,24.54,26.09,24.53,25.64,69952730,1776867834,60021,0.0473,0.6575430632,37933608236,62101208160,0.0457,96.5763,96.5763,7.4787,1,25.401
13,600111.XSHG,600111,北方稀土,XSHG,2015-01-22,25.64,25.64,25.5,26.78,25.35,26.12,80716606,2118083673,65649,0.0546,0.6575430632,38643753788,63263789280,0.0187,98.3843,98.3843,7.6187,1,26.241
14,600111.XSHG,600111,北方稀土,XSHG,2015-01-23,26.12,26.12,26.5,26.82,25.6,25.94,66399921,1739612146,53487,0.0449,0.6575430632,38377449206,62827821360,-0.0069,97.7063,97.7063,7.5662,1,26.199
15,600111.XSHG,600111,北方稀土,XSHG,2015-01-26,25.94,25.94,26.12,27.48,25.95,27.12,111088115,2989483033,87292,0.0751,0.6575430632,40123223688,65685833280,0.0455,102.1509,102.1509,7.9104,1,26.911
16,600111.XSHG,600111,北方稀土,XSHG,2015-01-27,27.12,27.12,27.18,27.2,26.23,26.77,73868987,1969416704,68399,0.0499,0.6575430632,39605409223,64838117880,-0.0129,100.8326,100.8326,7.8083,1,26.661
17,600111.XSHG,600111,北方稀土,XSHG,2015-01-28,26.77,26.77,26.6,26.95,26.11,26.26,45191659,1195160614,41788,0.0305,0.6575430632,38850879574,63602875440,-0.0191,98.9116,98.9116,7.6595,1,26.446
18,600111.XSHG,600111,北方稀土,XSHG,2015-01-29,26.26,26.26,26.2,26.95,26.02,26.27,53555429,1419802342,47007,0.0362,0.6575430632,38865674273,63627095880,0.0004,98.9493,98.9493,7.6624,1,26.511
19,600111.XSHG,600111,北方稀土,XSHG,2015-01-30,26.27,26.27,26.33,27.12,26.3,26.35,54473821,1451335941,46449,0.0368,0.6575430632,38984031865,63820859400,0.003,99.2506,99.2506,7.6858,1,26.643
20,600111.XSHG,600111,北方稀土,XSHG,2015-02-02,26.35,26.35,26.0,26.0,25.21,25.28,49794219,1271743007,42931,0.0337,0.6575430632,37400999072,61229272320,-0.0406,95.2203,95.2203,7.3737,1,25.54
21,600111.XSHG,600111,北方稀土,XSHG,2015-02-03,25.28,25.28,25.38,25.68,24.9,25.59,47160723,1189306061,43923,0.0319,0.6575430632,37859634741,61980105960,0.0123,96.388,96.388,7.4641,1,25.218
22,600111.XSHG,600111,北方稀土,XSHG,2015-02-04,25.59,25.59,25.75,25.8,25.1,25.15,34986281,890076474,31029,0.0236,0.6575430632,37208667985,60914406600,-0.0172,94.7307,94.7307,7.3358,1,25.441
23,600111.XSHG,600111,北方稀土,XSHG,2015-02-05,25.15,25.15,25.5,25.6,24.68,24.7,42503337,1066524949,38801,0.0287,0.6575430632,36542906530,59824486800,-0.0179,93.0357,93.0357,7.2045,1,25.093
24,600111.XSHG,600111,北方稀土,XSHG,2015-02-06,24.7,24.7,24.72,24.92,24.0,24.14,35962861,873652466,35154,0.0243,0.6575430632,35714403386,58468142160,-0.0227,90.9264,90.9264,7.0412,1,24.293
25,600111.XSHG,600111,北方稀土,XSHG,2015-02-09,24.14,24.14,24.2,24.55,24.09,24.36,26122793,635151773,22775,0.0177,0.6575430632,36039886764,59000991840,0.0091,91.755,91.755,7.1053,1,24.314
26,600111.XSHG,600111,北方稀土,XSHG,2015-02-10,24.36,24.36,24.4,24.65,24.33,24.63,21382862,524701007,19408,0.0145,0.6575430632,36439343637,59654943720,0.0111,92.772,92.772,7.1841,1,24.538
27,600111.XSHG,600111,北方稀土,XSHG,2015-02-11,24.63,24.63,24.69,25.06,24.59,24.78,26084295,647555330,20805,0.0176,0.6575430632,36661264122,60018250320,0.0061,93.337,93.337,7.2278,1,24.825
28,600111.XSHG,600111,北方稀土,XSHG,2015-02-12,24.78,24.78,24.78,24.78,24.3,24.41,26783879,655454874,23723,0.0181,0.6575430632,36113860259,59122094040,-0.0149,91.9433,91.9433,7.1199,1,24.472
